Property,DataType,Access,DSLoadProps,DSSaveProps,Server,Collection,File,Document,Version,SavedQuery,Calendar,BulletinBoard,Bulletin,Weblog,WeblogEntry,Wiki,WikiPage,URL,User,Group,Description
Abstract,String,R/W,A,,,,A,A,,,,,,,,,,,,,Machine generated summary
Author,String,R/W,A,A,,,A,A,,,,,,,,,,,,,Author of file item
BackgroundImage,String,R/W,A,A,,A,,,,,,,,,,,,,,,URL of background image
Comment,String,R/W,,,,,A,A,A,,,,,,,,,,,,File item version comments
Description,String,R/W,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Long description of item
Handle,String,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,"DocuShare item handle, for example, File-123"
HandleNum,Integer,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,ItemÅfs handle number
IsLocked,Boolean,R/W,A,,,,A,A,,,,,,,,,,,,,File item is locked or not
IsReadOnly,Boolean,R/W,A,,A,,,,,,,,,,,,,,,,Item is read-only or not
Keywords,String,R/W,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Keywords for item
Length,Integer,R/W,A,,A,A,A,A,A,A,,,,,,,,,,A,Length of collection or file item
Logo,String,R/W,A,A,,A,,,,,,,,,,,,,,,Length of collection or file item
MaxVersions,Integer,R/W,A,A,,,A,A,,,,,,,,,,,,,Maximum number of file item versions
MimeType,String,R/W,A,A,,,A,A,A,,,,,,,,,,,,File item MIME type
Name,String,R/W,A,,,A,A,A,A,,,,,,,,,,A,,File or user item Name
Owner,String,R/W,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,OwnerÅfs DocuShare handle
OwnerNum,Integer,R/W,A,A,,,,,,,,,,,,,,,,,OwnerÅfs handle number
ParentHandle,Integer,R/W,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,Primary parentÅfd Item handle
ParentType,String,R/W,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Primary parentÅfs item type ID
ParentTypeNum,Integer,R/W,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Numeric parent type ID
ParentHandleNum,Integer,R/W,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Numeric parent handle
ParentCount,Integer,R,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,Number of parents
SortOrder,String,R/W,A,A,,,,,,,,,,,,,,,,,Collection itemÅfs sort order
Summary,String,R/W,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Brief summary of item
TimeAccessed,Date,R/W,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Time when item was last accessed
TimeCreated,Date,R/W,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Time when item was created
TimeModified,Date,R/W,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Time when item was last modified
Title,String,R/W,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Display name of item
Type,String,R,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Returns a string description of the ItemObj type
TypeNum,Integer,R/W,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Item's type number
URL,String,R/W,A,A,,,,,,,,,,,,,,A,,,URL value of URL item
User,String,R/W,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,UserÅfs DocuShare handle
UserNum,Integer,R/W,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,UserÅfs handle number
